"","Strains","row_id","Plate","PD2_blank","PD2Ca_blank","Variable","OD","Treatment","Day"
"1","WM1-1",2,1,0.1105,0.1085,"X1",0.0045,"PD2",0
"2","WM1-1",2,1,0.1105,0.1085,"X2",0.0045,"PD2",0
"3","WM1-1",2,1,0.1105,0.1085,"X3",0.0045,"PD2",0
"4","WM1-1",2,1,0.1105,0.1085,"X4",0.0055,"PD2",0
"5","WM1-1",2,1,0.1105,0.1085,"X5",0.00650000000000001,"PD2",0
"6","WM1-1",2,1,0.1105,0.1085,"X6",0.00650000000000001,"PD2",0
"7","WM1-1",2,1,0.1105,0.1085,"X7",-0.0025,"PD2+Ca",0
"8","WM1-1",2,1,0.1105,0.1085,"X8",0.0055,"PD2+Ca",0
"9","WM1-1",2,1,0.1105,0.1085,"X9",0.0035,"PD2+Ca",0
"10","WM1-1",2,1,0.1105,0.1085,"X10",0.0045,"PD2+Ca",0
"11","WM1-1",2,1,0.1105,0.1085,"X11",0.00650000000000001,"PD2+Ca",0
"12","WM1-1",2,1,0.1105,0.1085,"X12",0.00850000000000001,"PD2+Ca",0
"13","B3SN17.2",3,1,0.1105,0.1085,"X1",0.0035,"PD2",0
"14","B3SN17.2",3,1,0.1105,0.1085,"X2",0.0045,"PD2",0
"15","B3SN17.2",3,1,0.1105,0.1085,"X3",0.0045,"PD2",0
"16","B3SN17.2",3,1,0.1105,0.1085,"X4",0.0025,"PD2",0
"17","B3SN17.2",3,1,0.1105,0.1085,"X5",0.0035,"PD2",0
"18","B3SN17.2",3,1,0.1105,0.1085,"X6",0.0045,"PD2",0
"19","B3SN17.2",3,1,0.1105,0.1085,"X7",0.0045,"PD2+Ca",0
"20","B3SN17.2",3,1,0.1105,0.1085,"X8",0.0035,"PD2+Ca",0
"21","B3SN17.2",3,1,0.1105,0.1085,"X9",0.0055,"PD2+Ca",0
"22","B3SN17.2",3,1,0.1105,0.1085,"X10",0.0045,"PD2+Ca",0
"23","B3SN17.2",3,1,0.1105,0.1085,"X11",0.00650000000000001,"PD2+Ca",0
"24","B3SN17.2",3,1,0.1105,0.1085,"X12",0.00750000000000001,"PD2+Ca",0
"25","TemeculaL",4,1,0.1105,0.1085,"X1",0.0055,"PD2",0
"26","TemeculaL",4,1,0.1105,0.1085,"X2",0.0045,"PD2",0
"27","TemeculaL",4,1,0.1105,0.1085,"X3",0.0025,"PD2",0
"28","TemeculaL",4,1,0.1105,0.1085,"X4",0.0045,"PD2",0
"29","TemeculaL",4,1,0.1105,0.1085,"X5",0.0035,"PD2",0
"30","TemeculaL",4,1,0.1105,0.1085,"X6",0.0035,"PD2",0
"31","TemeculaL",4,1,0.1105,0.1085,"X7",0.0045,"PD2+Ca",0
"32","TemeculaL",4,1,0.1105,0.1085,"X8",0.0045,"PD2+Ca",0
"33","TemeculaL",4,1,0.1105,0.1085,"X9",0.0045,"PD2+Ca",0
"34","TemeculaL",4,1,0.1105,0.1085,"X10",0.00850000000000001,"PD2+Ca",0
"35","TemeculaL",4,1,0.1105,0.1085,"X11",0.00850000000000001,"PD2+Ca",0
"36","TemeculaL",4,1,0.1105,0.1085,"X12",0.0045,"PD2+Ca",0
"37","IVIA53872",5,1,0.1105,0.1085,"X1",0.00650000000000001,"PD2",0
"38","IVIA53872",5,1,0.1105,0.1085,"X2",0.00749999999999999,"PD2",0
"39","IVIA53872",5,1,0.1105,0.1085,"X3",0.0055,"PD2",0
"40","IVIA53872",5,1,0.1105,0.1085,"X4",0.00650000000000001,"PD2",0
"41","IVIA53872",5,1,0.1105,0.1085,"X5",0.0045,"PD2",0
"42","IVIA53872",5,1,0.1105,0.1085,"X6",0.0045,"PD2",0
"43","IVIA53872",5,1,0.1105,0.1085,"X7",0.0045,"PD2+Ca",0
"44","IVIA53872",5,1,0.1105,0.1085,"X8",0.0025,"PD2+Ca",0
"45","IVIA53872",5,1,0.1105,0.1085,"X9",0.00750000000000001,"PD2+Ca",0
"46","IVIA53872",5,1,0.1105,0.1085,"X10",0.00850000000000001,"PD2+Ca",0
"47","IVIA53872",5,1,0.1105,0.1085,"X11",0.00750000000000001,"PD2+Ca",0
"48","IVIA53872",5,1,0.1105,0.1085,"X12",0.0055,"PD2+Ca",0
"49","XF3348",6,1,0.1105,0.1085,"X1",0.00849999999999999,"PD2",0
"50","XF3348",6,1,0.1105,0.1085,"X2",0.0115,"PD2",0
"51","XF3348",6,1,0.1105,0.1085,"X3",0.0105,"PD2",0
"52","XF3348",6,1,0.1105,0.1085,"X4",0.0165,"PD2",0
"53","XF3348",6,1,0.1105,0.1085,"X5",0.0105,"PD2",0
"54","XF3348",6,1,0.1105,0.1085,"X6",0.0105,"PD2",0
"55","XF3348",6,1,0.1105,0.1085,"X7",0.0145,"PD2+Ca",0
"56","XF3348",6,1,0.1105,0.1085,"X8",0.0115,"PD2+Ca",0
"57","XF3348",6,1,0.1105,0.1085,"X9",0.0145,"PD2+Ca",0
"58","XF3348",6,1,0.1105,0.1085,"X10",0.0105,"PD2+Ca",0
"59","XF3348",6,1,0.1105,0.1085,"X11",0.00850000000000001,"PD2+Ca",0
"60","XF3348",6,1,0.1105,0.1085,"X12",0.00750000000000001,"PD2+Ca",0
"61","IVIA5901",7,1,0.1105,0.1085,"X1",0.0025,"PD2",0
"62","IVIA5901",7,1,0.1105,0.1085,"X2",0.0035,"PD2",0
"63","IVIA5901",7,1,0.1105,0.1085,"X3",0.0035,"PD2",0
"64","IVIA5901",7,1,0.1105,0.1085,"X4",0.0025,"PD2",0
"65","IVIA5901",7,1,0.1105,0.1085,"X5",0.0015,"PD2",0
"66","IVIA5901",7,1,0.1105,0.1085,"X6",0.0025,"PD2",0
"67","IVIA5901",7,1,0.1105,0.1085,"X7",0.00850000000000001,"PD2+Ca",0
"68","IVIA5901",7,1,0.1105,0.1085,"X8",0.0045,"PD2+Ca",0
"69","IVIA5901",7,1,0.1105,0.1085,"X9",0.0025,"PD2+Ca",0
"70","IVIA5901",7,1,0.1105,0.1085,"X10",0.0015,"PD2+Ca",0
"71","IVIA5901",7,1,0.1105,0.1085,"X11",0.0035,"PD2+Ca",0
"72","IVIA5901",7,1,0.1105,0.1085,"X12",0.0025,"PD2+Ca",0
"73","WM1-1",12,2,0.109666666666667,0.107666666666667,"X1",0.00533333333333334,"PD2",0
"74","WM1-1",12,2,0.109666666666667,0.107666666666667,"X2",0.00833333333333333,"PD2",0
"75","WM1-1",12,2,0.109666666666667,0.107666666666667,"X3",0.00533333333333334,"PD2",0
"76","WM1-1",12,2,0.109666666666667,0.107666666666667,"X4",0.00633333333333334,"PD2",0
"77","WM1-1",12,2,0.109666666666667,0.107666666666667,"X5",0.00433333333333334,"PD2",0
"78","WM1-1",12,2,0.109666666666667,0.107666666666667,"X6",0.00633333333333334,"PD2",0
"79","WM1-1",12,2,0.109666666666667,0.107666666666667,"X7",0.00533333333333334,"PD2+Ca",0
"80","WM1-1",12,2,0.109666666666667,0.107666666666667,"X8",0.00633333333333334,"PD2+Ca",0
"81","WM1-1",12,2,0.109666666666667,0.107666666666667,"X9",0.00733333333333334,"PD2+Ca",0
"82","WM1-1",12,2,0.109666666666667,0.107666666666667,"X10",0.00633333333333334,"PD2+Ca",0
"83","WM1-1",12,2,0.109666666666667,0.107666666666667,"X11",0.00733333333333334,"PD2+Ca",0
"84","WM1-1",12,2,0.109666666666667,0.107666666666667,"X12",0.00533333333333334,"PD2+Ca",0
