,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.102,0.104,0.105,0.104,0.104,0.105,0.105,0.105,0.105,0.104,0.11,0.108,600
B,0.115,0.116,0.129,0.148,0.137,0.13,0.144,0.148,0.144,0.141,0.139,0.145,600
C,0.163,0.18,0.222,0.202,0.22,0.175,0.144,0.134,0.134,0.131,0.133,0.136,600
D,0.433,0.439,0.465,0.486,0.481,0.477,0.419,0.415,0.402,0.408,0.398,0.412,600
E,0.118,0.118,0.15,0.148,0.147,0.144,0.144,0.149,0.132,0.136,0.128,0.116,600
F,0.153,0.172,0.183,0.195,0.176,0.177,0.174,0.169,0.168,0.175,0.165,0.157,600
G,0.15,0.134,0.161,0.176,0.173,0.177,0.187,0.177,0.169,0.171,0.168,0.165,600
H,0.108,0.108,0.109,0.105,0.103,0.104,0.106,0.105,0.104,0.104,0.103,0.103,600
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.103,0.104,0.105,0.106,0.106,0.105,0.105,0.105,0.107,0.104,0.105,0.105,600
B,0.127,0.118,0.118,0.117,0.12,0.121,0.157,0.144,0.146,0.147,0.147,0.152,600
C,0.185,0.193,0.179,0.204,0.169,0.173,0.162,0.154,0.141,0.14,0.137,0.137,600
D,0.414,0.417,0.438,0.451,0.45,0.469,0.405,0.461,0.503,0.508,0.381,0.391,600
E,0.115,0.114,0.132,0.134,0.144,0.146,0.148,0.139,0.135,0.127,0.116,0.122,600
F,0.157,0.153,0.176,0.172,0.175,0.182,0.171,0.163,0.161,0.166,0.151,0.16,600
G,0.135,0.143,0.152,0.162,0.167,0.168,0.172,0.166,0.167,0.161,0.157,0.16,600
H,0.106,0.104,0.104,0.104,0.103,0.104,0.105,0.104,0.103,0.105,0.103,0.105,600
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.123,0.144,0.105,0.104,0.104,0.108,0.104,0.104,0.104,0.104,0.113,0.108,600
B,0.146,0.155,0.134,0.125,0.104,0.102,0.168,0.215,0.19,0.176,0.178,0.183,600
C,0.207,0.201,0.21,0.206,0.199,0.183,0.186,0.185,0.184,0.159,0.162,0.167,600
D,0.438,0.421,0.464,0.464,0.467,0.471,0.106,0.409,0.404,0.389,0.387,0.378,600
E,0.116,0.118,0.127,0.135,0.122,0.121,0.133,0.147,0.135,0.129,0.124,0.125,600
F,0.161,0.162,0.161,0.155,0.165,0.162,0.164,0.162,0.156,0.159,0.174,0.162,600
G,0.142,0.139,0.145,0.155,0.138,0.144,0.153,0.154,0.165,0.168,0.143,0.166,600
H,0.104,0.105,0.107,0.105,0.111,0.104,0.104,0.105,0.104,0.106,0.103,0.103,600
