"Strains","row_id","Plate","PD2_blank","PD2Ca_blank","Variable","OD","Treatment","Day","Dataset"
"WM1-1",2,1,0.1105,0.1085,"X1",0.0045,"PD2",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X2",0.0045,"PD2",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X3",0.0045,"PD2",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X4",0.0055,"PD2",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X5",0.00650000000000001,"PD2",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X6",0.00650000000000001,"PD2",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X7",-0.0025,"PD2+Ca",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X8",0.0055,"PD2+Ca",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X9",0.0035,"PD2+Ca",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X10",0.0045,"PD2+Ca",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X11",0.00650000000000001,"PD2+Ca",0,"Set A"
"WM1-1",2,1,0.1105,0.1085,"X12",0.00850000000000001,"PD2+Ca",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X1",0.0035,"PD2",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X2",0.0045,"PD2",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X3",0.0045,"PD2",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X4",0.0025,"PD2",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X5",0.0035,"PD2",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X6",0.0045,"PD2",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X7",0.0045,"PD2+Ca",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X8",0.0035,"PD2+Ca",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X9",0.0055,"PD2+Ca",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X10",0.0045,"PD2+Ca",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X11",0.00650000000000001,"PD2+Ca",0,"Set A"
"B3SN17.2",3,1,0.1105,0.1085,"X12",0.00750000000000001,"PD2+Ca",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X1",0.0055,"PD2",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X2",0.0045,"PD2",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X3",0.0025,"PD2",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X4",0.0045,"PD2",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X5",0.0035,"PD2",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X6",0.0035,"PD2",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X7",0.0045,"PD2+Ca",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X8",0.0045,"PD2+Ca",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X9",0.0045,"PD2+Ca",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X10",0.00850000000000001,"PD2+Ca",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X11",0.00850000000000001,"PD2+Ca",0,"Set A"
"TemeculaL",4,1,0.1105,0.1085,"X12",0.0045,"PD2+Ca",0,"Set A"
"IVIA53872",5,1,0.1105,0.1085,"X1",0.00650000000000001,"PD2",0,"Set A"
"IVIA53872",5,1,0.1105,0.1085,"X2",0.00749999999999999,"PD2",0,"Set A"
"IVIA53872",5,1,0.1105,0.1085,"X3",0.0055,"PD2",0,"Set A"
