"Strains","row_id","Plate","PD2_blank","PD2Ca_blank","Variable","OD","Treatment","Day","Dataset"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X1",0.00308333333333334,"PD2",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X2",0.00308333333333334,"PD2",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X3",0.00308333333333334,"PD2",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X4",0.00308333333333334,"PD2",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X5",0.00308333333333334,"PD2",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X6",0.00508333333333334,"PD2",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X7",0.00916666666666667,"PD2+Ca",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X8",0.00616666666666667,"PD2+Ca",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X9",0.00616666666666667,"PD2+Ca",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X10",0.00516666666666667,"PD2+Ca",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X11",0.00616666666666667,"PD2+Ca",0,"Set B"
"ESVL",2,1,0.110916666666667,0.107833333333333,"X12",0.0101666666666667,"PD2+Ca",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X1",0.0140833333333333,"PD2",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X2",0.00508333333333334,"PD2",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X3",0.00408333333333334,"PD2",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X4",0.00408333333333334,"PD2",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X5",0.00408333333333334,"PD2",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X6",0.00508333333333334,"PD2",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X7",0.00716666666666667,"PD2+Ca",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X8",0.00716666666666667,"PD2+Ca",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X9",0.00816666666666667,"PD2+Ca",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X10",0.00716666666666667,"PD2+Ca",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X11",0.00816666666666667,"PD2+Ca",0,"Set B"
"AlmaEm3",3,1,0.110916666666667,0.107833333333333,"X12",0.00916666666666667,"PD2+Ca",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X1",0.00508333333333334,"PD2",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X2",0.00508333333333334,"PD2",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X3",0.00408333333333334,"PD2",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X4",0.00608333333333334,"PD2",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X5",0.00608333333333334,"PD2",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X6",0.00308333333333334,"PD2",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X7",0.00916666666666667,"PD2+Ca",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X8",0.00716666666666667,"PD2+Ca",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X9",0.00916666666666667,"PD2+Ca",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X10",0.00816666666666667,"PD2+Ca",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X11",0.00816666666666667,"PD2+Ca",0,"Set B"
"CFBP8356",4,1,0.110916666666667,0.107833333333333,"X12",0.0151666666666667,"PD2+Ca",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X1",0.00408333333333334,"PD2",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X2",0.00408333333333334,"PD2",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X3",0.00508333333333334,"PD2",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X4",0.00508333333333334,"PD2",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X5",0.00208333333333334,"PD2",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X6",0.00508333333333334,"PD2",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X7",0.00616666666666667,"PD2+Ca",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X8",0.00816666666666667,"PD2+Ca",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X9",0.00216666666666666,"PD2+Ca",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X10",0.0621666666666667,"PD2+Ca",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X11",0.00116666666666666,"PD2+Ca",0,"Set B"
"XYL466",5,1,0.110916666666667,0.107833333333333,"X12",0.00216666666666666,"PD2+Ca",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X1",0.00308333333333334,"PD2",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X2",0.00208333333333334,"PD2",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X3",0.00408333333333334,"PD2",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X4",0.00708333333333333,"PD2",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X5",0.00308333333333334,"PD2",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X6",0.00308333333333334,"PD2",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X7",0.00816666666666667,"PD2+Ca",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X8",0.00816666666666667,"PD2+Ca",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X9",0.00716666666666667,"PD2+Ca",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X10",0.00716666666666667,"PD2+Ca",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X11",0.00816666666666667,"PD2+Ca",0,"Set B"
"De-Donno",6,1,0.110916666666667,0.107833333333333,"X12",0.00716666666666667,"PD2+Ca",0,"Set B"
"XYL1961",7,1,0.110916666666667,0.107833333333333,"X1",0.00408333333333334,"PD2",0,"Set B"
